-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     nvjet_tst_384x24_64x4_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.203ms         0.67%       2.203ms     367.192us             6  
             nvjet_tst_168x128_64x5_2x1_v_bz_splitK_TNN         0.00%       0.000us         0.00%       0.000us       0.000us       2.054ms         0.62%       2.054ms      73.362us            28  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us       1.999ms         0.60%       1.999ms      17.846us           112  
             nvjet_tst_128x16_64x11_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.728ms         0.52%       1.728ms      30.861us            56  
             nvjet_tst_128x112_64x7_4x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.635ms         0.49%       1.635ms      58.396us            28  
              nvjet_tst_256x64_64x5_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.627ms         0.49%       1.627ms      58.123us            28  
             nvjet_tst_128x104_64x7_4x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.626ms         0.49%       1.626ms      58.064us            28  
             nvjet_tst_128x136_64x6_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.605ms         0.49%       1.605ms      57.332us            28  
              nvjet_tst_128x72_64x8_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.515ms         0.46%       1.515ms      54.098us            28  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us       1.367ms         0.41%       1.367ms       4.884us           280  
                                            aten::copy_         0.64%       5.051ms         1.79%      14.085ms      25.243us       1.361ms         0.41%       1.368ms       2.451us           558  
                      triton_poi_fused_mul_silu_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us       1.195ms         0.36%       1.195ms       6.099us           196  
                                  cudaStreamIsCapturing         0.10%     769.023us         0.10%     769.023us       1.476us     969.336us         0.29%     969.336us       1.861us           521  
                  _C_cache_ops::reshape_and_cache_flash         4.39%      34.611ms         5.15%      40.572ms     131.729us     951.067us         0.29%     954.139us       3.098us           308  
                                           aten::argmax         2.24%      17.661ms         2.40%      18.877ms     343.213us     945.593us         0.29%     945.593us      17.193us            55  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     929.016us         0.28%     929.016us       4.147us           224  
