-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  execute_context_1(13)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      10.074ms         1.05%      10.074ms      10.074ms             1  
                  execute_context_2(30)_generation_1(7)         0.00%       0.000us         0.00%       0.000us       0.000us      10.014ms         1.05%      10.014ms      10.014ms             1  
      triton_red_fused_fused_add_rms_norm_marlin_gemm_0         0.00%       0.000us         0.00%       0.000us       0.000us       9.801ms         1.02%       9.801ms       2.536us          3864  
                  execute_context_0(0)_generation_5(35)         0.00%       0.000us         0.00%       0.000us       0.000us       9.729ms         1.02%       9.729ms       9.729ms             1  
          triton_poi_fused_marlin_gemm_mul_silu_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us       9.608ms         1.00%       9.608ms       2.487us          3864  
      triton_red_fused_fused_add_rms_norm_marlin_gemm_2         0.00%       0.000us         0.00%       0.000us       0.000us       9.590ms         1.00%       9.590ms       2.574us          3726  
              nvjet_tst_192x160_64x4_4x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       8.687ms         0.91%       8.687ms     103.413us            84  
                                     triton_poi_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us       8.498ms         0.89%       8.498ms       1.955us          4347  
                     nvjet_tst_192x88_64x6_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       8.341ms         0.87%       8.341ms      99.297us            84  
                   execute_context_0(0)_generation_1(7)         0.00%       0.000us         0.00%       0.000us       0.000us       8.151ms         0.85%       8.151ms       8.151ms             1  
              nvjet_tst_384x104_64x3_4x1_v_bz_coopA_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       5.596ms         0.58%       5.596ms      99.925us            56  
                     nvjet_tst_320x64_64x4_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       5.395ms         0.56%       5.395ms      96.335us            56  
                     nvjet_tst_192x24_64x7_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       5.356ms         0.56%       5.356ms      95.639us            56  
              nvjet_tst_256x56_64x5_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       4.801ms         0.50%       4.801ms      57.157us            84  
              nvjet_tst_128x80_64x8_4x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       4.638ms         0.48%       4.638ms      55.213us            84  
             nvjet_tst_112x128_64x7_2x1_v_bz_splitK_TNN         0.00%       0.000us         0.00%       0.000us       0.000us       4.552ms         0.48%       4.552ms      54.191us            84  
                                        cudaGraphLaunch         7.46%      92.218ms         7.90%      97.712ms      21.982us       3.859ms         0.40%       3.859ms       0.868us          4445  
                                            aten::copy_         0.75%       9.275ms         2.97%      36.757ms      19.762us       3.773ms         0.39%       3.780ms       2.033us          1860  
             nvjet_tst_128x104_64x7_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       3.196ms         0.33%       3.196ms      57.068us            56  
