model,ctx,arm,beta_greedy,overlap_t1,positions,prompts
dense,16384,mlpskip6,0.8464,0.8526,1152,12
dense,16384,attnskip6,0.8828,0.8917,1152,12
dense,16384,vres16k,0.9948,0.9045,1152,12
moe,16384,topc4,0.8915,0.9042,1152,12
dense,16384,vres32k,0.9957,0.9061,1152,12
dense,16384,svdr50,0.0443,0.0185,1152,12
moe,16384,topc2,0.7248,0.7272,1152,12
