-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
              nvjet_tst_192x144_64x5_4x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.828ms         0.65%       2.828ms     101.015us            28  
              nvjet_tst_384x104_64x3_4x1_v_bz_coopA_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.801ms         0.64%       2.801ms     100.030us            28  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us       2.763ms         0.63%       2.763ms       4.934us           560  
                     nvjet_tst_192x72_64x6_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.725ms         0.63%       2.725ms      97.307us            28  
                     nvjet_tst_192x48_64x7_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.718ms         0.62%       2.718ms      97.067us            28  
                     nvjet_tst_192x16_64x8_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.691ms         0.62%       2.691ms      96.120us            28  
                     nvjet_tst_192x24_64x7_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.671ms         0.61%       2.671ms      95.389us            28  
                     nvjet_tst_384x32_64x4_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.211ms         0.51%       2.211ms     368.426us             6  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us       1.945ms         0.45%       1.945ms       4.631us           420  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us       1.876ms         0.43%       1.876ms       4.466us           420  
             nvjet_tst_128x16_64x11_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.726ms         0.40%       1.726ms      30.829us            56  
                                            aten::copy_         0.77%       5.483ms        23.90%     171.070ms     213.837us       1.666ms         0.38%       1.672ms       2.090us           800  
             nvjet_tst_112x128_64x7_2x1_v_bz_splitK_TNN         0.00%       0.000us         0.00%       0.000us       0.000us       1.644ms         0.38%       1.644ms      58.712us            28  
              nvjet_tst_256x64_64x5_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.640ms         0.38%       1.640ms      58.566us            28  
             nvjet_tst_128x136_64x6_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.602ms         0.37%       1.602ms      57.222us            28  
             nvjet_tst_128x104_64x7_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.595ms         0.37%       1.595ms      56.958us            28  
              nvjet_tst_128x72_64x8_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.510ms         0.35%       1.510ms      53.943us            28  
                  _C_cache_ops::reshape_and_cache_flash         4.05%      29.011ms         4.61%      33.031ms      69.392us       1.470ms         0.34%       1.470ms       3.088us           476  
              nvjet_tst_128x48_64x9_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.436ms         0.33%       1.436ms      51.278us            28  
             nvjet_tst_128x24_64x11_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.407ms         0.32%       1.407ms      50.267us            28  
                      triton_poi_fused_mul_silu_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us       1.333ms         0.31%       1.333ms       4.760us           280  
                                  cudaStreamIsCapturing         0.11%     807.292us         0.11%     807.292us       1.028us       1.293ms         0.30%       1.293ms       1.648us           785  
                                  Lazy Function Loading         0.02%     158.020us         0.02%     158.020us      52.673us       1.162ms         0.27%       1.162ms     387.316us             3  
                nvjet_tst_128x72_64x8_4x1_v_bz_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.155ms         0.27%       1.155ms      20.620us            56  
                                           aten::argmax         1.07%       7.655ms         1.25%       8.956ms     113.363us       1.151ms         0.26%       1.151ms      14.566us            79  
