arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,142.3,2.927
k2,2,8,2000,974.5,2.891
k2,2,32,2000,2890.5,2.901
k2,2,1,8000,139.0,2.839
k2,2,8,8000,849.6,2.828
k2,2,32,8000,2151.8,2.842
k2,2,1,14000,137.3,2.789
k2,2,8,14000,640.6,2.715
k4,4,1,2000,135.0,4.629
k4,4,8,2000,905.9,4.669
k4,4,32,2000,2617.6,4.642
k4,4,1,8000,129.1,4.472
k4,4,8,8000,760.8,4.373
k4,4,32,8000,2049.6,4.559
k4,4,1,14000,132.9,4.528
k4,4,8,14000,731.2,4.389
