arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,150.6,2.623
k2,2,8,2000,1114.0,2.836
k2,2,32,2000,3074.4,2.865
k2,2,1,8000,151.0,2.839
k2,2,8,8000,842.8,2.89
k2,2,32,8000,1590.2,2.871
k2,2,1,14000,148.6,2.875
k2,2,8,14000,660.6,2.829
k4,4,1,2000,150.6,4.184
k4,4,8,2000,1021.5,4.414
k4,4,32,2000,2691.8,4.486
k4,4,1,8000,135.5,4.444
k4,4,8,8000,741.4,4.545
k4,4,32,8000,1448.4,4.53
k4,4,1,14000,149.3,4.657
k4,4,8,14000,637.2,4.581
