arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,189.9,2.785
k2,2,8,2000,1307.3,2.826
k2,2,32,2000,3391.0,2.775
k2,2,1,8000,153.0,2.239
k2,2,8,8000,1023.0,2.759
k2,2,32,8000,2577.1,2.831
k2,2,1,14000,185.6,2.744
k2,2,8,14000,1053.5,2.86
k3,3,1,2000,190.4,3.6
k3,3,8,2000,1315.1,3.643
k3,3,32,2000,3396.7,3.542
k3,3,1,8000,139.5,2.581
k3,3,8,8000,984.0,3.576
k3,3,32,8000,2682.1,3.622
k3,3,1,14000,179.1,3.29
k3,3,8,14000,1190.8,3.801
k6,6,1,2000,178.5,5.655
k6,6,8,2000,1151.9,5.799
k6,6,32,2000,2621.7,5.496
k6,6,1,8000,106.7,3.304
k6,6,8,8000,803.4,5.601
k6,6,32,8000,2401.9,5.897
k6,6,1,14000,165.6,4.813
k6,6,8,14000,1109.2,6.072
