arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,183.1,2.712
k2,2,8,2000,1263.1,2.722
k2,2,32,2000,3549.3,2.738
k2,2,1,8000,144.5,2.133
k2,2,8,8000,1003.2,2.698
k2,2,32,8000,2583.4,2.725
k2,2,1,14000,178.2,2.639
k2,2,8,14000,886.7,2.614
k4,4,1,2000,170.0,3.976
k4,4,8,2000,1191.4,4.089
k4,4,32,2000,3140.7,4.147
k4,4,1,8000,118.1,2.613
k4,4,8,8000,874.7,4.071
k4,4,32,8000,2437.0,4.097
k4,4,1,14000,164.7,3.705
k4,4,8,14000,782.4,3.777
