arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,164.6,2.825
k2,2,8,2000,1154.1,2.822
k2,2,32,2000,3224.3,2.844
k2,2,1,8000,167.5,2.963
k2,2,8,8000,904.7,2.894
k2,2,32,8000,1803.5,2.892
k2,2,1,14000,158.4,2.927
k2,2,8,14000,735.7,2.854
k4,4,1,2000,158.9,4.417
k4,4,8,2000,1062.3,4.495
k4,4,32,2000,2940.2,4.506
k4,4,1,8000,163.5,4.765
k4,4,8,8000,829.8,4.586
k4,4,32,8000,1728.7,4.618
k4,4,1,14000,158.5,4.676
k4,4,8,14000,688.1,4.482
