-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     triton_poi_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us       9.782ms         1.02%       9.782ms       1.917us          5103  
                  execute_context_0(0)_generation_3(21)         0.00%       0.000us         0.00%       0.000us       0.000us       9.126ms         0.95%       9.126ms       9.126ms             1  
                     nvjet_tst_384x16_64x4_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       9.104ms         0.95%       9.104ms     364.158us            25  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us       9.086ms         0.95%       9.086ms      32.449us           280  
void cutlass::device_kernel<flash::FlashAttnFwdCombi...         0.00%       0.000us         0.00%       0.000us       0.000us       9.045ms         0.94%       9.045ms       5.982us          1512  
                   execute_context_0(0)_generation_1(7)         0.00%       0.000us         0.00%       0.000us       0.000us       8.216ms         0.86%       8.216ms       8.216ms             1  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us       7.546ms         0.79%       7.546ms       4.492us          1680  
              nvjet_tst_128x80_64x8_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       6.088ms         0.64%       6.088ms      54.358us           112  
                     nvjet_tst_64x40_64x16_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       5.641ms         0.59%       5.641ms      12.591us           448  
                     nvjet_tst_320x64_64x4_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       5.404ms         0.56%       5.404ms      96.501us            56  
                     nvjet_tst_192x32_64x7_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       5.376ms         0.56%       5.376ms      96.000us            56  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us       5.325ms         0.56%       5.325ms      21.133us           252  
                nvjet_tst_64x72_64x12_4x1_v_bz_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       5.293ms         0.55%       5.293ms      15.753us           336  
                     nvjet_tst_384x48_64x3_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       4.512ms         0.47%       4.512ms     375.978us            12  
                  _C_cache_ops::reshape_and_cache_flash         1.93%      20.505ms         2.78%      29.619ms      21.588us       4.133ms         0.43%       4.133ms       3.013us          1372  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us       4.077ms         0.43%       4.077ms      48.540us            84  
                                            aten::copy_         0.99%      10.497ms        36.96%     393.401ms     181.207us       3.557ms         0.37%       3.563ms       1.641us          2171  
              nvjet_tst_128x56_64x9_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.949ms         0.31%       2.949ms      52.667us            56  
             nvjet_tst_128x32_64x10_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.865ms         0.30%       2.865ms      51.160us            56  
                     nvjet_tst_192x88_64x6_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.759ms         0.29%       2.759ms      98.543us            28  
                     nvjet_tst_192x40_64x7_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.745ms         0.29%       2.745ms      98.039us            28  
                     nvjet_tst_192x96_64x5_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.731ms         0.28%       2.731ms      97.528us            28  
                     nvjet_tst_192x48_64x7_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.711ms         0.28%       2.711ms      96.826us            28  
