-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  execute_context_0(0)_generation_8(40)         0.00%       0.000us         0.00%       0.000us       0.000us      53.681ms        16.72%      53.681ms      10.736ms             5  
                                       _vllm_fa3_C::fwd         8.18%      40.027ms        18.78%      91.937ms      58.633us      46.378ms        14.45%      46.398ms      29.591us          1568  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      38.256ms        11.92%      38.256ms      23.557us          1624  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us      37.305ms        11.62%      37.305ms      23.374us          1596  
                  execute_context_1(13)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      33.369ms        10.40%      33.369ms      33.369ms             1  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      29.148ms         9.08%      29.148ms      17.948us          1624  
                  execute_context_3(44)_generation_1(5)         0.00%       0.000us         0.00%       0.000us       0.000us      25.862ms         8.06%      25.862ms      25.862ms             1  
                                               aten::mm         1.71%       8.371ms         2.03%       9.932ms     152.793us      23.644ms         7.37%      24.016ms     369.480us            65  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      20.634ms         6.43%      20.634ms      27.294us           756  
                      nvjet_tst_384x8_64x4_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      19.884ms         6.19%      19.884ms     361.532us            55  
                     nvjet_tst_192x40_64x7_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      19.034ms         5.93%      19.034ms      97.112us           196  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us      17.232ms         5.37%      17.232ms      76.927us           224  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      15.042ms         4.69%      15.042ms      22.384us           672  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      14.436ms         4.50%      14.436ms      57.287us           252  
                 execute_context_1(14)_generation_7(35)         0.00%       0.000us         0.00%       0.000us       0.000us      14.184ms         4.42%      14.184ms      14.184ms             1  
                 execute_context_3(44)_generation_4(20)         0.00%       0.000us         0.00%       0.000us       0.000us      12.422ms         3.87%      12.422ms      12.422ms             1  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      11.532ms         3.59%      11.532ms      17.161us           672  
