arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,117.8,2.909
k2,2,8,2000,751.4,2.861
k2,2,32,2000,2090.9,2.846
k2,2,1,8000,76.7,2.875
k2,2,8,8000,695.9,2.799
k2,2,1,14000,117.7,2.807
k2,2,8,14000,700.8,2.786
k4,4,1,2000,132.6,4.735
k4,4,8,2000,703.2,4.566
k4,4,32,2000,1932.7,4.461
k4,4,1,8000,132.6,4.6
k4,4,8,8000,635.4,4.472
k4,4,1,14000,128.8,4.5
k4,4,8,14000,400.2,4.419
