arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,104.0,2.927
k2,2,8,2000,888.8,2.896
k2,2,32,2000,2853.3,2.884
k2,2,1,8000,122.0,2.047
k2,2,8,8000,720.7,2.689
k2,2,1,14000,175.2,2.891
k2,2,8,14000,858.8,2.809
k4,4,1,2000,133.7,4.765
k4,4,8,2000,842.9,4.683
k4,4,32,2000,2639.9,4.654
k4,4,1,8000,75.8,2.379
k4,4,8,8000,546.7,4.037
k4,4,1,14000,146.5,4.533
k4,4,8,14000,851.7,4.559
