-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::mul         0.04%       1.479ms         0.06%       2.422ms      10.351us     382.780us         0.01%     382.780us       1.636us           234  
                                              aten::sub         0.05%       1.984ms         0.08%       3.060ms       8.820us     371.675us         0.01%     371.675us       1.071us           347  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     355.038us         0.01%     355.038us       1.504us           236  
                    cudaThreadExchangeStreamCaptureMode         0.00%      84.430us         0.00%      84.430us       0.358us     343.933us         0.01%     343.933us       1.457us           236  
                                           aten::gather         0.02%     726.297us         0.03%       1.104ms      14.151us     313.024us         0.01%     313.024us       4.013us            78  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     311.741us         0.01%     311.741us       2.455us           127  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     277.055us         0.01%     277.055us       4.861us            57  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     267.581us         0.01%     267.581us       1.174us           228  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     253.569us         0.01%     253.569us       1.262us           201  
                                              aten::all         0.03%     990.748us         0.04%       1.441ms      15.006us     241.376us         0.01%     241.376us       2.514us            96  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     241.376us         0.01%     241.376us       2.514us            96  
       triton_red_fused__to_copy_embedding_rms_norm_t_0         0.00%       0.000us         0.00%       0.000us       0.000us     231.425us         0.01%     231.425us       2.411us            96  
                  triton_red_fused_fused_add_rms_norm_1         0.00%       0.000us         0.00%       0.000us       0.000us     230.016us         0.01%     230.016us       2.396us            96  
                                              aten::max         0.02%     980.946us         0.04%       1.721ms      13.770us     219.554us         0.01%     219.554us       1.756us           125  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     219.554us         0.01%     219.554us       2.287us            96  
                                              aten::min         0.03%       1.182ms         0.06%       2.170ms      22.602us     205.247us         0.01%     205.247us       2.138us            96  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     205.247us         0.01%     205.247us       2.138us            96  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     198.045us         0.01%     198.045us       3.474us            57  
