model,refs,layer,head,window,beyond_mass
Qwen/Qwen3-32B,c4,0,32,2048,0.020100
Qwen/Qwen3-32B,c4,0,33,128,0.694969
Qwen/Qwen3-32B,c4,0,33,512,0.429910
Qwen/Qwen3-32B,c4,0,33,2048,0.092454
Qwen/Qwen3-32B,c4,0,34,128,0.268535
Qwen/Qwen3-32B,c4,0,34,512,0.192952
Qwen/Qwen3-32B,c4,0,34,2048,0.048737
Qwen/Qwen3-32B,c4,0,35,128,0.513481
Qwen/Qwen3-32B,c4,0,35,512,0.285975
Qwen/Qwen3-32B,c4,0,35,2048,0.040653
Qwen/Qwen3-32B,c4,0,36,128,0.327045
Qwen/Qwen3-32B,c4,0,36,512,0.152385
Qwen/Qwen3-32B,c4,0,36,2048,0.034800
Qwen/Qwen3-32B,c4,0,37,128,0.267420
Qwen/Qwen3-32B,c4,0,37,512,0.164831
Qwen/Qwen3-32B,c4,0,37,2048,0.019433
Qwen/Qwen3-32B,c4,0,38,128,0.300039
Qwen/Qwen3-32B,c4,0,38,512,0.143925
Qwen/Qwen3-32B,c4,0,38,2048,0.028646
Qwen/Qwen3-32B,c4,0,39,128,0.584782
Qwen/Qwen3-32B,c4,0,39,512,0.296754
Qwen/Qwen3-32B,c4,0,39,2048,0.051886
Qwen/Qwen3-32B,c4,0,40,128,0.289706
Qwen/Qwen3-32B,c4,0,40,512,0.193735
Qwen/Qwen3-32B,c4,0,40,2048,0.033550
Qwen/Qwen3-32B,c4,0,41,128,0.511125
Qwen/Qwen3-32B,c4,0,41,512,0.254387
Qwen/Qwen3-32B,c4,0,41,2048,0.041732
Qwen/Qwen3-32B,c4,0,42,128,0.590626
Qwen/Qwen3-32B,c4,0,42,512,0.452437
Qwen/Qwen3-32B,c4,0,42,2048,0.027006
Qwen/Qwen3-32B,c4,0,43,128,0.218327
Qwen/Qwen3-32B,c4,0,43,512,0.134886
Qwen/Qwen3-32B,c4,0,43,2048,0.024274
Qwen/Qwen3-32B,c4,0,44,128,0.111247
Qwen/Qwen3-32B,c4,0,44,512,0.063647
Qwen/Qwen3-32B,c4,0,44,2048,0.014067
Qwen/Qwen3-32B,c4,0,45,128,0.611241
Qwen/Qwen3-32B,c4,0,45,512,0.373411
Qwen/Qwen3-32B,c4,0,45,2048,0.059129
Qwen/Qwen3-32B,c4,0,46,128,0.125909
