model,refs,layer,head,window,beyond_mass
Qwen/Qwen3-8B,c4,0,0,128,0.392684
Qwen/Qwen3-8B,c4,0,0,512,0.208891
Qwen/Qwen3-8B,c4,0,0,2048,0.041932
Qwen/Qwen3-8B,c4,0,1,128,0.041301
Qwen/Qwen3-8B,c4,0,1,512,0.024477
Qwen/Qwen3-8B,c4,0,1,2048,0.003401
Qwen/Qwen3-8B,c4,0,2,128,0.223986
Qwen/Qwen3-8B,c4,0,2,512,0.145963
Qwen/Qwen3-8B,c4,0,2,2048,0.037157
Qwen/Qwen3-8B,c4,0,3,128,0.491888
Qwen/Qwen3-8B,c4,0,3,512,0.275610
Qwen/Qwen3-8B,c4,0,3,2048,0.039464
Qwen/Qwen3-8B,c4,0,4,128,0.098257
Qwen/Qwen3-8B,c4,0,4,512,0.042803
Qwen/Qwen3-8B,c4,0,4,2048,0.006557
Qwen/Qwen3-8B,c4,0,5,128,0.366908
Qwen/Qwen3-8B,c4,0,5,512,0.254338
Qwen/Qwen3-8B,c4,0,5,2048,0.024455
Qwen/Qwen3-8B,c4,0,6,128,0.067487
Qwen/Qwen3-8B,c4,0,6,512,0.034642
Qwen/Qwen3-8B,c4,0,6,2048,0.005890
Qwen/Qwen3-8B,c4,0,7,128,0.088676
Qwen/Qwen3-8B,c4,0,7,512,0.043552
Qwen/Qwen3-8B,c4,0,7,2048,0.008408
Qwen/Qwen3-8B,c4,0,8,128,0.244688
Qwen/Qwen3-8B,c4,0,8,512,0.138272
Qwen/Qwen3-8B,c4,0,8,2048,0.014495
Qwen/Qwen3-8B,c4,0,9,128,0.094984
Qwen/Qwen3-8B,c4,0,9,512,0.052131
Qwen/Qwen3-8B,c4,0,9,2048,0.010335
Qwen/Qwen3-8B,c4,0,10,128,0.057053
Qwen/Qwen3-8B,c4,0,10,512,0.028691
Qwen/Qwen3-8B,c4,0,10,2048,0.006336
Qwen/Qwen3-8B,c4,0,11,128,0.068044
Qwen/Qwen3-8B,c4,0,11,512,0.028034
Qwen/Qwen3-8B,c4,0,11,2048,0.008340
Qwen/Qwen3-8B,c4,0,12,128,0.192113
Qwen/Qwen3-8B,c4,0,12,512,0.094983
Qwen/Qwen3-8B,c4,0,12,2048,0.016953
Qwen/Qwen3-8B,c4,0,13,128,0.441145
Qwen/Qwen3-8B,c4,0,13,512,0.221873
Qwen/Qwen3-8B,c4,0,13,2048,0.047750
Qwen/Qwen3-8B,c4,0,14,128,0.381383
Qwen/Qwen3-8B,c4,0,14,512,0.196539
Qwen/Qwen3-8B,c4,0,14,2048,0.038202
Qwen/Qwen3-8B,c4,0,15,128,0.189844
Qwen/Qwen3-8B,c4,0,15,512,0.120111
Qwen/Qwen3-8B,c4,0,15,2048,0.022807
Qwen/Qwen3-8B,c4,0,16,128,0.137764
Qwen/Qwen3-8B,c4,0,16,512,0.060168
Qwen/Qwen3-8B,c4,0,16,2048,0.008576
Qwen/Qwen3-8B,c4,0,17,128,0.157921
Qwen/Qwen3-8B,c4,0,17,512,0.069599
Qwen/Qwen3-8B,c4,0,17,2048,0.008409
Qwen/Qwen3-8B,c4,0,18,128,0.156687
Qwen/Qwen3-8B,c4,0,18,512,0.060629
Qwen/Qwen3-8B,c4,0,18,2048,0.011092
Qwen/Qwen3-8B,c4,0,19,128,0.129507
Qwen/Qwen3-8B,c4,0,19,512,0.047206
Qwen/Qwen3-8B,c4,0,19,2048,0.008683
Qwen/Qwen3-8B,c4,0,20,128,0.177563
Qwen/Qwen3-8B,c4,0,20,512,0.102267
Qwen/Qwen3-8B,c4,0,20,2048,0.013683
Qwen/Qwen3-8B,c4,0,21,128,0.278389
Qwen/Qwen3-8B,c4,0,21,512,0.158810
Qwen/Qwen3-8B,c4,0,21,2048,0.025021
Qwen/Qwen3-8B,c4,0,22,128,0.106160
Qwen/Qwen3-8B,c4,0,22,512,0.063996
Qwen/Qwen3-8B,c4,0,22,2048,0.013621
Qwen/Qwen3-8B,c4,0,23,128,0.142825
Qwen/Qwen3-8B,c4,0,23,512,0.071993
Qwen/Qwen3-8B,c4,0,23,2048,0.009383
Qwen/Qwen3-8B,c4,0,24,128,0.039016
Qwen/Qwen3-8B,c4,0,24,512,0.025531
Qwen/Qwen3-8B,c4,0,24,2048,0.002568
Qwen/Qwen3-8B,c4,0,25,128,0.736391
Qwen/Qwen3-8B,c4,0,25,512,0.478364
Qwen/Qwen3-8B,c4,0,25,2048,0.096539
Qwen/Qwen3-8B,c4,0,26,128,0.171436
Qwen/Qwen3-8B,c4,0,26,512,0.072619
Qwen/Qwen3-8B,c4,0,26,2048,0.019502
Qwen/Qwen3-8B,c4,0,27,128,0.513505
Qwen/Qwen3-8B,c4,0,27,512,0.265030
Qwen/Qwen3-8B,c4,0,27,2048,0.066847
Qwen/Qwen3-8B,c4,0,28,128,0.134517
Qwen/Qwen3-8B,c4,0,28,512,0.049515
Qwen/Qwen3-8B,c4,0,28,2048,0.013239
Qwen/Qwen3-8B,c4,0,29,128,0.508169
Qwen/Qwen3-8B,c4,0,29,512,0.273149
Qwen/Qwen3-8B,c4,0,29,2048,0.050109
Qwen/Qwen3-8B,c4,0,30,128,0.115445
Qwen/Qwen3-8B,c4,0,30,512,0.037330
Qwen/Qwen3-8B,c4,0,30,2048,0.009621
Qwen/Qwen3-8B,c4,0,31,128,0.132491
Qwen/Qwen3-8B,c4,0,31,512,0.040032
Qwen/Qwen3-8B,c4,0,31,2048,0.011879
Qwen/Qwen3-8B,c4,1,0,128,0.185217
Qwen/Qwen3-8B,c4,1,0,512,0.111251
Qwen/Qwen3-8B,c4,1,0,2048,0.018349
Qwen/Qwen3-8B,c4,1,1,128,0.401562
Qwen/Qwen3-8B,c4,1,1,512,0.260871
Qwen/Qwen3-8B,c4,1,1,2048,0.059001
Qwen/Qwen3-8B,c4,1,2,128,0.258697
Qwen/Qwen3-8B,c4,1,2,512,0.153205
Qwen/Qwen3-8B,c4,1,2,2048,0.033868
Qwen/Qwen3-8B,c4,1,3,128,0.461506
Qwen/Qwen3-8B,c4,1,3,512,0.275708
Qwen/Qwen3-8B,c4,1,3,2048,0.073784
Qwen/Qwen3-8B,c4,1,4,128,0.039822
Qwen/Qwen3-8B,c4,1,4,512,0.024235
Qwen/Qwen3-8B,c4,1,4,2048,0.004061
Qwen/Qwen3-8B,c4,1,5,128,0.175466
Qwen/Qwen3-8B,c4,1,5,512,0.109555
Qwen/Qwen3-8B,c4,1,5,2048,0.030490
Qwen/Qwen3-8B,c4,1,6,128,0.392045
Qwen/Qwen3-8B,c4,1,6,512,0.245909
Qwen/Qwen3-8B,c4,1,6,2048,0.054297
Qwen/Qwen3-8B,c4,1,7,128,0.117720
Qwen/Qwen3-8B,c4,1,7,512,0.065274
Qwen/Qwen3-8B,c4,1,7,2048,0.015574
Qwen/Qwen3-8B,c4,1,8,128,0.504168
Qwen/Qwen3-8B,c4,1,8,512,0.312734
Qwen/Qwen3-8B,c4,1,8,2048,0.069467
Qwen/Qwen3-8B,c4,1,9,128,0.254906
Qwen/Qwen3-8B,c4,1,9,512,0.120319
Qwen/Qwen3-8B,c4,1,9,2048,0.025126
Qwen/Qwen3-8B,c4,1,10,128,0.712390
Qwen/Qwen3-8B,c4,1,10,512,0.426735
Qwen/Qwen3-8B,c4,1,10,2048,0.107469
Qwen/Qwen3-8B,c4,1,11,128,0.629269
Qwen/Qwen3-8B,c4,1,11,512,0.368926
Qwen/Qwen3-8B,c4,1,11,2048,0.109834
Qwen/Qwen3-8B,c4,1,12,128,0.402662
Qwen/Qwen3-8B,c4,1,12,512,0.233471
Qwen/Qwen3-8B,c4,1,12,2048,0.056403
Qwen/Qwen3-8B,c4,1,13,128,0.590561
Qwen/Qwen3-8B,c4,1,13,512,0.399542
Qwen/Qwen3-8B,c4,1,13,2048,0.107794
Qwen/Qwen3-8B,c4,1,14,128,0.537482
Qwen/Qwen3-8B,c4,1,14,512,0.313558
Qwen/Qwen3-8B,c4,1,14,2048,0.061694
Qwen/Qwen3-8B,c4,1,15,128,0.425513
Qwen/Qwen3-8B,c4,1,15,512,0.243499
Qwen/Qwen3-8B,c4,1,15,2048,0.055167
Qwen/Qwen3-8B,c4,1,16,128,0.396014
Qwen/Qwen3-8B,c4,1,16,512,0.203112
Qwen/Qwen3-8B,c4,1,16,2048,0.039911
Qwen/Qwen3-8B,c4,1,17,128,0.837177
Qwen/Qwen3-8B,c4,1,17,512,0.657571
Qwen/Qwen3-8B,c4,1,17,2048,0.192745
Qwen/Qwen3-8B,c4,1,18,128,0.711686
Qwen/Qwen3-8B,c4,1,18,512,0.405203
Qwen/Qwen3-8B,c4,1,18,2048,0.077785
Qwen/Qwen3-8B,c4,1,19,128,0.378564
Qwen/Qwen3-8B,c4,1,19,512,0.208705
Qwen/Qwen3-8B,c4,1,19,2048,0.040030
Qwen/Qwen3-8B,c4,1,20,128,0.611693
Qwen/Qwen3-8B,c4,1,20,512,0.287490
Qwen/Qwen3-8B,c4,1,20,2048,0.043520
Qwen/Qwen3-8B,c4,1,21,128,0.119312
Qwen/Qwen3-8B,c4,1,21,512,0.056788
Qwen/Qwen3-8B,c4,1,21,2048,0.003696
Qwen/Qwen3-8B,c4,1,22,128,0.392656
Qwen/Qwen3-8B,c4,1,22,512,0.209571
Qwen/Qwen3-8B,c4,1,22,2048,0.040236
Qwen/Qwen3-8B,c4,1,23,128,0.376519
Qwen/Qwen3-8B,c4,1,23,512,0.200917
Qwen/Qwen3-8B,c4,1,23,2048,0.033335
Qwen/Qwen3-8B,c4,1,24,128,0.108623
Qwen/Qwen3-8B,c4,1,24,512,0.012035
Qwen/Qwen3-8B,c4,1,24,2048,0.000154
Qwen/Qwen3-8B,c4,1,25,128,0.026427
Qwen/Qwen3-8B,c4,1,25,512,0.009739
Qwen/Qwen3-8B,c4,1,25,2048,0.000162
Qwen/Qwen3-8B,c4,1,26,128,0.482878
Qwen/Qwen3-8B,c4,1,26,512,0.248203
Qwen/Qwen3-8B,c4,1,26,2048,0.037911
Qwen/Qwen3-8B,c4,1,27,128,0.501702
Qwen/Qwen3-8B,c4,1,27,512,0.329249
Qwen/Qwen3-8B,c4,1,27,2048,0.062398
Qwen/Qwen3-8B,c4,1,28,128,0.894334
Qwen/Qwen3-8B,c4,1,28,512,0.568021
Qwen/Qwen3-8B,c4,1,28,2048,0.114194
