model,refs,layer,head,window,beyond_mass
Qwen/Qwen3-8B,cnndm,0,30,512,0.036650
Qwen/Qwen3-8B,cnndm,0,30,2048,0.009167
Qwen/Qwen3-8B,cnndm,0,31,128,0.131932
Qwen/Qwen3-8B,cnndm,0,31,512,0.039697
Qwen/Qwen3-8B,cnndm,0,31,2048,0.011146
Qwen/Qwen3-8B,cnndm,1,0,128,0.183734
Qwen/Qwen3-8B,cnndm,1,0,512,0.108494
Qwen/Qwen3-8B,cnndm,1,0,2048,0.017514
Qwen/Qwen3-8B,cnndm,1,1,128,0.375502
Qwen/Qwen3-8B,cnndm,1,1,512,0.237212
Qwen/Qwen3-8B,cnndm,1,1,2048,0.053118
Qwen/Qwen3-8B,cnndm,1,2,128,0.264847
Qwen/Qwen3-8B,cnndm,1,2,512,0.153843
Qwen/Qwen3-8B,cnndm,1,2,2048,0.034570
Qwen/Qwen3-8B,cnndm,1,3,128,0.472114
Qwen/Qwen3-8B,cnndm,1,3,512,0.286910
Qwen/Qwen3-8B,cnndm,1,3,2048,0.074464
Qwen/Qwen3-8B,cnndm,1,4,128,0.042320
Qwen/Qwen3-8B,cnndm,1,4,512,0.025987
Qwen/Qwen3-8B,cnndm,1,4,2048,0.004410
Qwen/Qwen3-8B,cnndm,1,5,128,0.192106
Qwen/Qwen3-8B,cnndm,1,5,512,0.119734
Qwen/Qwen3-8B,cnndm,1,5,2048,0.031260
Qwen/Qwen3-8B,cnndm,1,6,128,0.372838
Qwen/Qwen3-8B,cnndm,1,6,512,0.233240
Qwen/Qwen3-8B,cnndm,1,6,2048,0.050535
Qwen/Qwen3-8B,cnndm,1,7,128,0.126912
Qwen/Qwen3-8B,cnndm,1,7,512,0.070361
Qwen/Qwen3-8B,cnndm,1,7,2048,0.016649
Qwen/Qwen3-8B,cnndm,1,8,128,0.508278
Qwen/Qwen3-8B,cnndm,1,8,512,0.312912
Qwen/Qwen3-8B,cnndm,1,8,2048,0.071408
Qwen/Qwen3-8B,cnndm,1,9,128,0.268985
Qwen/Qwen3-8B,cnndm,1,9,512,0.127261
Qwen/Qwen3-8B,cnndm,1,9,2048,0.028086
Qwen/Qwen3-8B,cnndm,1,10,128,0.714140
Qwen/Qwen3-8B,cnndm,1,10,512,0.421691
