model,refs,layer,importance
Qwen/Qwen3-8B,c4,0,0.662455
Qwen/Qwen3-8B,c4,1,0.068755
Qwen/Qwen3-8B,c4,2,0.049776
Qwen/Qwen3-8B,c4,3,0.068897
Qwen/Qwen3-8B,c4,4,0.092130
Qwen/Qwen3-8B,c4,5,0.083486
Qwen/Qwen3-8B,c4,6,0.078043
Qwen/Qwen3-8B,c4,7,0.068071
Qwen/Qwen3-8B,c4,8,0.086004
Qwen/Qwen3-8B,c4,9,0.091451
Qwen/Qwen3-8B,c4,10,0.090145
Qwen/Qwen3-8B,c4,11,0.077767
Qwen/Qwen3-8B,c4,12,0.075849
Qwen/Qwen3-8B,c4,13,0.061738
Qwen/Qwen3-8B,c4,14,0.057915
Qwen/Qwen3-8B,c4,15,0.049590
Qwen/Qwen3-8B,c4,16,0.045190
Qwen/Qwen3-8B,c4,17,0.044211
Qwen/Qwen3-8B,c4,18,0.044896
Qwen/Qwen3-8B,c4,19,0.051110
Qwen/Qwen3-8B,c4,20,0.037783
Qwen/Qwen3-8B,c4,21,0.043628
Qwen/Qwen3-8B,c4,22,0.061515
Qwen/Qwen3-8B,c4,23,0.060073
Qwen/Qwen3-8B,c4,24,0.055297
Qwen/Qwen3-8B,c4,25,0.040095
Qwen/Qwen3-8B,c4,26,0.034061
Qwen/Qwen3-8B,c4,27,0.034141
Qwen/Qwen3-8B,c4,28,0.036422
Qwen/Qwen3-8B,c4,29,0.036306
Qwen/Qwen3-8B,c4,30,0.035421
Qwen/Qwen3-8B,c4,31,0.031771
Qwen/Qwen3-8B,c4,32,0.031054
Qwen/Qwen3-8B,c4,33,0.033339
Qwen/Qwen3-8B,c4,34,0.049116
Qwen/Qwen3-8B,c4,35,0.697982
