arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,68.3,2.944
k2,2,4,2000,260.1,2.995
k2,2,8,2000,494.0,2.974
k2,2,16,2000,873.7,2.969
k2,2,32,2000,937.5,2.977
k2,2,64,2000,1170.4,2.976
k2,2,1,8000,68.2,3.0
k2,2,4,8000,248.4,2.967
k2,2,8,8000,260.3,2.976
k2,2,16,8000,330.8,2.978
k2,2,1,14000,68.9,2.944
k2,2,4,14000,130.3,2.949
k2,2,8,14000,171.3,2.963
k4,4,1,2000,68.6,4.969
k4,4,4,2000,253.0,4.954
k4,4,8,2000,475.0,4.897
k4,4,16,2000,831.0,4.924
k4,4,32,2000,846.8,4.899
k4,4,64,2000,1082.2,4.906
k4,4,1,8000,68.6,5.0
k4,4,4,8000,237.3,4.899
k4,4,8,8000,245.7,4.877
k4,4,16,8000,309.3,4.896
k4,4,1,14000,66.4,4.818
k4,4,4,14000,125.6,4.892
k4,4,8,14000,162.1,4.84
k6,6,1,2000,63.3,6.875
k6,6,4,2000,244.8,6.853
k6,6,8,2000,415.8,6.831
k6,6,16,2000,762.9,6.862
k6,6,32,2000,833.5,6.787
k6,6,64,2000,823.8,6.815
k6,6,1,8000,61.2,6.52
k6,6,4,8000,227.7,6.789
k6,6,8,8000,238.3,6.798
k6,6,16,8000,238.9,6.796
k6,6,1,14000,65.4,6.833
k6,6,4,14000,119.9,6.561
k6,6,8,14000,121.2,6.605
