arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,25.2,3.0
k2,2,4,2000,97.1,2.986
k2,2,8,2000,193.2,2.991
k2,2,16,2000,380.5,2.98
k2,2,32,2000,753.1,2.985
k2,2,64,2000,1477.4,2.981
k2,2,1,8000,17.1,2.078
k2,2,4,8000,69.6,2.664
k2,2,8,8000,137.5,2.772
k2,2,16,8000,282.9,2.849
k2,2,1,14000,25.5,3.0
k2,2,4,14000,92.2,2.953
k2,2,8,14000,185.9,2.932
k2,2,16,14000,374.2,2.946
k4,4,1,2000,21.4,5.0
k4,4,4,2000,76.9,4.87
k4,4,8,2000,161.1,4.958
k4,4,16,2000,298.9,4.918
k4,4,32,2000,597.3,4.912
k4,4,64,2000,1170.5,4.937
k4,4,1,8000,10.5,2.462
k4,4,4,8000,41.6,3.943
k4,4,8,8000,87.3,4.243
k4,4,16,8000,175.5,4.558
k4,4,1,14000,19.7,5.0
k4,4,4,14000,74.8,4.87
k4,4,8,14000,149.9,4.785
k4,4,16,14000,294.9,4.827
k6,6,1,2000,19.3,7.0
k6,6,4,2000,70.8,6.83
k6,6,8,2000,139.9,6.919
k6,6,16,2000,267.9,6.822
k6,6,32,2000,508.3,6.817
k6,6,64,2000,1058.4,6.853
k6,6,1,8000,7.5,2.565
k6,6,4,8000,29.9,4.719
k6,6,8,8000,61.2,5.412
k6,6,16,8000,127.2,5.999
k6,6,1,14000,19.1,7.0
k6,6,4,14000,68.2,6.656
k6,6,8,14000,129.0,6.517
k6,6,16,14000,269.0,6.562
