arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,23.7,2.875
k2,2,4,2000,91.0,2.887
k2,2,8,2000,182.5,2.929
k2,2,16,2000,332.3,2.915
k2,2,32,2000,680.3,2.927
k2,2,64,2000,1296.1,2.918
k2,2,1,8000,17.4,2.078
k2,2,4,8000,70.4,2.624
k2,2,8,8000,125.5,2.585
k2,2,16,8000,248.5,2.717
k2,2,1,14000,26.1,3.0
k2,2,4,14000,98.7,2.935
k2,2,8,14000,184.4,2.911
k2,2,16,14000,341.8,2.897
k4,4,1,2000,19.6,4.6
k4,4,4,2000,74.0,4.679
k4,4,8,2000,156.7,4.86
k4,4,16,2000,248.5,4.725
k4,4,32,2000,491.3,4.724
k4,4,64,2000,960.7,4.726
k4,4,1,8000,9.7,2.319
k4,4,4,8000,41.9,3.753
k4,4,8,8000,77.9,3.618
k4,4,16,8000,157.8,4.07
k4,4,1,14000,21.3,4.909
k4,4,4,14000,80.7,4.877
k4,4,8,14000,151.3,4.667
k4,4,16,14000,253.4,4.67
k6,6,1,2000,17.0,6.115
k6,6,4,2000,62.8,6.171
k6,6,8,2000,134.1,6.6
k6,6,16,2000,221.6,6.439
k6,6,32,2000,435.6,6.371
k6,6,64,2000,887.0,6.455
k6,6,1,8000,7.6,2.565
k6,6,4,8000,30.2,4.652
k6,6,8,8000,53.7,4.385
k6,6,16,8000,106.7,5.06
k6,6,1,14000,18.2,6.667
k6,6,4,14000,69.0,6.654
k6,6,8,14000,117.3,6.32
k6,6,16,14000,215.3,6.39
