arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,133.6,2.607
k2,2,4,2000,529.2,2.823
k2,2,8,2000,992.7,2.812
k2,2,16,2000,1746.2,2.784
k2,2,32,2000,2900.7,2.779
k2,2,64,2000,4331.6,2.803
k2,2,128,2000,5624.5,2.803
k2,2,1,8000,141.3,2.875
k2,2,4,8000,465.6,2.776
k2,2,8,8000,752.9,2.846
k2,2,16,8000,1183.8,2.809
k2,2,32,8000,1615.1,2.833
k2,2,1,14000,142.3,2.891
k2,2,4,14000,407.9,2.796
k2,2,8,14000,659.1,2.843
k2,2,16,14000,894.0,2.814
k4,4,1,2000,121.2,3.927
k4,4,4,2000,488.2,4.496
k4,4,8,2000,842.0,4.399
k4,4,16,2000,1496.5,4.361
k4,4,32,2000,2543.7,4.317
k4,4,64,2000,3786.7,4.377
k4,4,128,2000,4948.4,4.367
k4,4,1,8000,98.2,4.543
k4,4,4,8000,339.9,4.178
k4,4,8,8000,656.7,4.423
k4,4,16,8000,1069.4,4.345
k4,4,32,8000,1447.8,4.399
k4,4,1,14000,128.0,4.657
k4,4,4,14000,311.0,4.28
k4,4,8,14000,538.2,4.348
k4,4,16,14000,780.0,4.297
k6,6,1,2000,107.5,4.848
k6,6,4,2000,414.3,5.829
k6,6,8,2000,760.1,5.659
k6,6,16,2000,1306.5,5.457
k6,6,32,2000,2191.0,5.418
k6,6,64,2000,3330.9,5.568
k6,6,128,2000,4357.0,5.557
k6,6,1,8000,89.3,6.037
k6,6,4,8000,326.0,5.688
k6,6,8,8000,570.5,5.951
k6,6,16,8000,920.0,5.676
k6,6,32,8000,1290.4,5.86
k6,6,1,14000,131.4,6.6
k6,6,4,14000,293.0,5.584
k6,6,8,14000,483.3,5.702
k6,6,16,14000,684.9,5.593
