arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,127.2,2.825
k2,2,4,2000,483.1,2.9
k2,2,8,2000,831.2,2.913
k2,2,16,2000,1241.9,2.904
k2,2,32,2000,2474.4,2.918
k2,2,64,2000,4225.6,2.913
k2,2,1,8000,136.7,2.981
k2,2,4,8000,506.4,2.977
k2,2,8,8000,836.8,2.957
k2,2,16,8000,1298.4,2.939
k2,2,1,14000,143.3,3.0
k2,2,4,14000,390.4,2.958
k2,2,8,14000,791.1,2.933
k4,4,1,2000,111.1,4.297
k4,4,4,2000,434.8,4.579
k4,4,8,2000,772.8,4.688
k4,4,16,2000,1262.4,4.733
k4,4,32,2000,2262.3,4.737
k4,4,64,2000,3957.3,4.736
k4,4,1,8000,129.7,4.818
k4,4,4,8000,493.4,4.908
k4,4,8,8000,767.6,4.873
k4,4,16,8000,1191.8,4.804
k4,4,1,14000,137.0,5.0
k4,4,4,14000,475.1,4.744
k4,4,8,14000,735.3,4.751
k6,6,1,2000,110.7,6.0
k6,6,4,2000,406.3,6.333
k6,6,8,2000,662.7,6.381
k6,6,16,2000,1236.2,6.491
k6,6,32,2000,2171.7,6.437
k6,6,64,2000,3748.9,6.469
k6,6,1,8000,126.1,6.625
k6,6,4,8000,430.3,6.531
k6,6,8,8000,649.8,6.585
k6,6,16,8000,1090.6,6.484
k6,6,1,14000,134.6,7.0
k6,6,4,14000,416.3,6.515
k6,6,8,14000,644.6,6.537
k3,3,1,2000,118.5,3.522
k3,3,4,2000,485.0,3.826
k3,3,8,2000,859.4,3.849
k3,3,16,2000,1417.8,3.829
k3,3,32,2000,2450.4,3.837
k3,3,64,2000,4121.3,3.826
k3,3,1,8000,134.6,3.857
k3,3,4,8000,525.4,3.908
k3,3,8,8000,831.3,3.88
k3,3,16,8000,1306.3,3.823
k3,3,1,14000,141.6,4.0
k3,3,4,14000,519.0,3.854
k3,3,8,14000,808.5,3.871
k3,3,1,16000,135.9,3.857
k3,3,4,16000,517.3,3.877
k3,3,8,16000,806.0,3.886
k2,2,1,16000,90.5,2.891
k2,2,4,16000,338.3,2.925
k2,2,8,16000,786.1,2.926
k4,4,1,16000,108.5,4.794
k4,4,4,16000,502.7,4.794
k4,4,8,16000,747.7,4.827
