arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,138.0,2.927
k2,2,4,2000,535.4,2.981
k2,2,8,2000,1020.7,2.98
k2,2,16,2000,1791.0,2.975
k2,2,32,2000,2972.8,2.983
k2,2,64,2000,4446.5,2.984
k2,2,128,2000,5613.9,2.981
k2,2,1,8000,143.2,2.944
k2,2,4,8000,513.9,2.967
k2,2,8,8000,894.1,2.948
k2,2,16,8000,1506.0,2.954
k2,2,32,8000,2199.5,2.958
k2,2,1,14000,141.3,2.944
k2,2,4,14000,480.3,2.921
k2,2,8,14000,835.2,2.954
k2,2,16,14000,1282.9,2.939
k4,4,1,2000,137.1,4.818
k4,4,4,2000,540.6,4.969
k4,4,8,2000,1011.6,4.975
k4,4,16,2000,1707.1,4.946
k4,4,32,2000,2808.5,4.93
k4,4,64,2000,4177.9,4.931
k4,4,128,2000,5342.7,4.939
k4,4,1,8000,134.4,4.706
k4,4,4,8000,510.4,4.899
k4,4,8,8000,872.4,4.783
k4,4,16,8000,1508.7,4.753
k4,4,32,8000,2244.2,4.774
k4,4,1,14000,142.4,5.0
k4,4,4,14000,471.8,4.862
k4,4,8,14000,833.6,4.813
k4,4,16,14000,1334.1,4.778
k6,6,1,2000,131.6,6.792
k6,6,4,2000,522.4,6.953
k6,6,8,2000,943.7,6.896
k6,6,16,2000,1628.8,6.871
k6,6,32,2000,2700.0,6.873
k6,6,64,2000,4039.7,6.878
k6,6,128,2000,5096.9,6.87
k6,6,1,8000,128.1,6.44
k6,6,4,8000,495.1,6.688
k6,6,8,8000,843.3,6.688
k6,6,16,8000,1384.0,6.488
k6,6,32,8000,2125.0,6.525
k6,6,1,14000,138.8,7.0
k6,6,4,14000,450.9,6.695
k6,6,8,14000,806.1,6.516
k6,6,16,14000,1330.0,6.51
