arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,150.3,2.807
k2,2,4,2000,443.2,2.822
k2,2,8,2000,785.2,2.833
k2,2,16,2000,1317.9,2.884
k2,2,32,2000,2428.2,2.881
k2,2,64,2000,4138.8,2.887
k2,2,1,8000,116.5,2.118
k2,2,4,8000,399.8,2.654
k2,2,8,8000,725.7,2.791
k2,2,16,8000,1263.8,2.815
k2,2,1,14000,165.6,2.981
k2,2,4,14000,438.0,2.707
k2,2,8,14000,769.1,2.834
k4,4,1,2000,136.2,4.543
k4,4,4,2000,410.8,4.434
k4,4,8,2000,698.5,4.601
k4,4,16,2000,1171.0,4.665
k4,4,32,2000,2146.2,4.617
k4,4,64,2000,4028.5,4.668
k4,4,1,8000,83.2,2.7
k4,4,4,8000,332.8,3.909
k4,4,8,8000,568.1,4.297
k4,4,16,8000,982.5,4.341
k4,4,1,14000,156.7,5.0
k4,4,4,14000,327.4,4.051
k4,4,8,14000,621.8,4.413
k6,6,1,2000,121.2,5.714
k6,6,4,2000,318.7,5.699
k6,6,8,2000,583.7,6.129
k6,6,16,2000,1109.8,6.203
k6,6,32,2000,1864.2,6.176
k6,6,64,2000,3423.8,6.205
k6,6,1,8000,61.5,2.911
k6,6,4,8000,227.8,4.633
k6,6,8,8000,430.8,5.637
k6,6,16,8000,805.3,5.667
k6,6,1,14000,149.6,6.913
k6,6,4,14000,261.5,5.0
k6,6,8,14000,501.7,5.724
k3,3,1,2000,136.8,3.614
k3,3,4,2000,369.2,3.572
k3,3,8,2000,768.9,3.701
k3,3,16,2000,1279.0,3.773
k3,3,32,2000,2291.3,3.775
k3,3,64,2000,3704.5,3.735
k3,3,1,8000,92.1,2.477
k3,3,4,8000,299.4,3.332
k3,3,8,8000,460.0,3.595
k3,3,16,8000,1147.6,3.543
k3,3,1,14000,130.1,3.878
k3,3,4,14000,219.2,3.44
k3,3,8,14000,759.9,3.692
k3,3,1,16000,159.1,3.721
k3,3,4,16000,395.0,3.571
k3,3,8,16000,805.4,3.65
k2,2,1,16000,167.6,2.807
k2,2,4,16000,508.4,2.808
k2,2,8,16000,830.8,2.831
k4,4,1,16000,84.1,4.528
k4,4,4,16000,453.5,4.338
k4,4,8,16000,708.3,4.424
