arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,29.5,2.909
k2,2,4,2000,98.2,2.606
k2,2,8,2000,199.2,2.721
k2,2,16,2000,366.4,2.69
k2,2,32,2000,698.5,2.716
k2,2,64,2000,1522.5,2.733
k2,2,1,8000,29.4,2.875
k2,2,4,8000,109.6,2.819
k2,2,8,8000,195.7,2.731
k2,2,16,8000,382.7,2.672
k2,2,1,14000,29.3,2.839
k2,2,4,14000,100.3,2.728
k2,2,8,14000,200.0,2.675
k2,2,16,14000,414.0,2.782
k4,4,1,2000,23.4,4.6
k4,4,4,2000,67.4,3.771
k4,4,8,2000,143.4,4.268
k4,4,16,2000,275.0,4.116
k4,4,32,2000,524.9,4.119
k4,4,64,2000,930.8,4.167
k4,4,1,8000,17.6,4.676
k4,4,4,8000,82.8,4.427
k4,4,8,8000,133.3,3.984
k4,4,16,8000,262.7,3.874
k4,4,1,14000,20.8,4.263
k4,4,4,14000,68.6,4.095
k4,4,8,14000,138.9,4.129
k4,4,16,14000,307.8,4.269
k6,6,1,2000,20.6,6.269
k6,6,4,2000,51.0,4.636
k6,6,8,2000,119.4,5.462
k6,6,16,2000,224.5,5.327
k6,6,32,2000,360.3,5.05
k6,6,64,2000,764.8,5.299
k6,6,1,8000,19.5,5.963
k6,6,4,8000,71.2,5.862
k6,6,8,8000,99.3,4.958
k6,6,16,8000,205.0,4.935
k6,6,1,14000,19.3,5.926
k6,6,4,14000,49.0,5.055
k6,6,8,14000,113.3,5.229
k6,6,16,14000,219.0,5.394
