arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,160.4,2.981
k2,2,4,2000,497.8,2.977
k2,2,8,2000,842.2,2.986
k2,2,16,2000,1415.8,2.996
k2,2,32,2000,2500.4,2.982
k2,2,64,2000,4246.4,2.984
k2,2,1,8000,167.1,2.963
k2,2,4,8000,504.2,2.991
k2,2,8,8000,846.9,2.983
k2,2,16,8000,1324.7,2.991
k2,2,1,14000,162.6,3.0
k2,2,4,14000,494.3,2.939
k2,2,8,14000,596.3,2.973
k4,4,1,2000,142.8,5.0
k4,4,4,2000,438.6,5.0
k4,4,8,2000,817.2,5.0
k4,4,16,2000,1324.5,4.95
k4,4,32,2000,2379.6,4.942
k4,4,64,2000,4031.7,4.942
k4,4,1,8000,127.0,5.0
k4,4,4,8000,457.6,4.953
k4,4,8,8000,784.3,4.988
k4,4,16,8000,912.6,4.954
k4,4,1,14000,162.8,5.0
k4,4,4,14000,346.7,4.22
k4,4,8,14000,603.4,4.57
k6,6,1,2000,153.3,7.0
k6,6,4,2000,438.3,7.0
k6,6,8,2000,736.1,7.0
k6,6,16,2000,1286.0,6.911
k6,6,32,2000,2261.2,6.87
k6,6,64,2000,3940.0,6.989
k6,6,1,8000,156.3,7.0
k6,6,4,8000,449.9,6.892
k6,6,8,8000,717.4,6.929
k6,6,16,8000,1152.7,6.888
k6,6,1,14000,161.4,7.0
k6,6,4,14000,271.7,5.373
k6,6,8,14000,503.3,6.127
k3,3,1,2000,156.2,4.0
k3,3,4,2000,542.1,4.0
k3,3,8,2000,878.6,4.0
k3,3,16,2000,1093.3,3.998
k3,3,32,2000,2501.9,3.975
k3,3,64,2000,4193.5,3.968
k3,3,1,8000,119.4,4.0
k3,3,4,8000,416.6,3.975
k3,3,8,8000,625.5,3.984
k3,3,16,8000,1336.4,3.989
k3,3,1,14000,171.4,4.0
k3,3,4,14000,435.9,3.632
k3,3,8,14000,704.3,3.758
k3,3,1,16000,165.0,3.951
k3,3,4,16000,491.5,3.754
k3,3,8,16000,738.0,3.748
k2,2,1,16000,180.7,2.963
k2,2,4,16000,491.2,2.899
k2,2,8,16000,675.9,2.887
k4,4,1,16000,164.1,4.909
k4,4,4,16000,447.9,4.618
k4,4,8,16000,682.4,4.61
