arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,69.8,2.909
k2,2,4,2000,247.6,2.84
k2,2,8,2000,459.1,2.833
k2,2,16,2000,945.2,2.866
k2,2,32,2000,917.5,2.879
k2,2,64,2000,1188.0,2.876
k2,2,1,8000,52.3,2.205
k2,2,4,8000,210.5,2.622
k2,2,8,8000,263.4,2.756
k2,2,16,8000,344.8,2.812
k2,2,1,14000,69.8,2.839
k2,2,4,14000,132.3,2.748
k2,2,8,14000,175.1,2.821
k4,4,1,2000,66.0,4.571
k4,4,4,2000,215.0,4.483
k4,4,8,2000,438.4,4.623
k4,4,16,2000,824.0,4.582
k4,4,32,2000,852.7,4.578
k4,4,64,2000,1138.5,4.582
k4,4,1,8000,41.1,2.839
k4,4,4,8000,154.3,3.792
k4,4,8,8000,238.1,4.186
k4,4,16,8000,311.0,4.408
k4,4,1,14000,66.5,4.676
k4,4,4,14000,130.6,4.458
k4,4,8,14000,173.3,4.595
k6,6,1,2000,63.6,6.115
k6,6,4,2000,190.6,6.019
k6,6,8,2000,361.3,6.143
k6,6,16,2000,666.6,6.241
k6,6,32,2000,752.4,6.181
k6,6,64,2000,824.0,6.191
k6,6,1,8000,29.8,2.891
k6,6,4,8000,120.0,4.652
k6,6,8,8000,228.4,5.277
k6,6,16,8000,243.3,5.645
k6,6,1,14000,59.7,5.75
k6,6,4,14000,114.9,5.786
k6,6,8,14000,115.1,6.028
