arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,143.1,3.0
k2,2,4,2000,536.3,2.994
k2,2,8,2000,1013.1,2.989
k2,2,16,2000,1798.0,2.996
k2,2,32,2000,2986.9,2.993
k2,2,64,2000,4469.6,2.988
k2,2,128,2000,5718.1,2.985
k2,2,1,8000,139.3,3.0
k2,2,4,8000,461.3,2.981
k2,2,8,8000,779.1,2.974
k2,2,16,8000,1200.8,2.991
k2,2,32,8000,1625.9,2.995
k2,2,1,14000,135.5,2.944
k2,2,4,14000,443.3,2.958
k2,2,8,14000,725.7,2.978
k2,2,16,14000,1048.4,2.957
k4,4,1,2000,141.8,5.0
k4,4,4,2000,525.2,4.93
k4,4,8,2000,987.9,4.981
k4,4,16,2000,1814.2,5.0
k4,4,32,2000,2983.7,5.0
k4,4,64,2000,4239.3,4.953
k4,4,128,2000,5356.8,4.949
k4,4,1,8000,135.4,5.0
k4,4,4,8000,473.4,4.992
k4,4,8,8000,757.9,4.899
k4,4,16,8000,1190.3,5.0
k4,4,32,8000,1572.6,4.998
k4,4,1,14000,129.5,4.765
k4,4,4,14000,442.3,4.915
k4,4,8,14000,726.1,4.904
k4,4,16,14000,1038.3,4.902
k6,6,1,2000,137.1,7.0
k6,6,4,2000,501.2,6.84
k6,6,8,2000,943.4,6.925
k6,6,16,2000,1749.2,7.0
k6,6,32,2000,2861.6,7.0
k6,6,64,2000,4028.5,6.881
k6,6,128,2000,5095.5,6.878
k6,6,1,8000,131.9,7.0
k6,6,4,8000,435.6,6.882
k6,6,8,8000,724.2,6.849
k6,6,16,8000,1147.2,7.0
k6,6,32,8000,1527.3,7.0
k6,6,1,14000,115.1,6.708
k6,6,4,14000,432.8,6.871
k6,6,8,14000,656.2,6.757
k6,6,16,14000,991.1,6.734
