arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,146.4,2.909
k2,2,8,2000,754.8,2.861
k2,2,32,2000,2203.8,2.846
k2,2,1,8000,154.9,2.875
k2,2,8,8000,701.7,2.796
k2,2,1,14000,139.2,2.807
k2,2,8,14000,683.4,2.796
k4,4,1,2000,127.4,4.735
k4,4,8,2000,702.2,4.566
k4,4,32,2000,1905.4,4.461
k4,4,1,8000,119.5,4.6
k4,4,8,8000,632.1,4.472
k4,4,1,14000,130.8,4.5
k4,4,8,14000,413.3,4.395
