arm,K,batch,ctx,decode_toks,accept
k2,2,1,2000,188.9,2.807
k2,2,8,2000,1234.6,2.832
k2,2,32,2000,3356.0,2.853
k2,2,1,8000,186.2,2.773
k2,2,8,8000,1082.1,2.774
k2,2,32,8000,2406.7,2.815
k2,2,1,14000,185.5,2.68
k2,2,8,14000,871.2,2.741
k4,4,1,2000,194.9,4.5
k4,4,8,2000,1211.9,4.466
k4,4,32,2000,3233.3,4.528
k4,4,1,8000,191.5,4.201
k4,4,8,8000,1084.5,4.307
k4,4,32,8000,2428.3,4.372
k4,4,1,14000,191.0,4.201
k4,4,8,14000,749.6,3.948
