model,ctx,arm,beta_greedy,overlap_t1,positions,prompts
q3_8b,16384,win512,0.9748,0.971,1152,12
q3_8b,16384,win128,0.9748,0.9682,1152,12
q3_8b,16384,kvq_fp8,0.9852,0.9856,1152,12
q3_8b,16384,skip125,0.7543,0.7644,1152,12
q3_8b,16384,skip25,0.5373,0.5213,1152,12
q3_8b,16384,q_fp8,0.9913,0.9899,1152,12
q3_8b,16384,ig_2,0.9514,0.9488,1152,12
q3_8b,16384,q_int4,0.9523,0.9553,1152,12
q3_8b,16384,ig_3,0.9514,0.9478,1152,12
q3_8b,16384,ig_4,0.9444,0.9431,1152,12
q3_8b,16384,ig_5,0.947,0.9408,1152,12
q3_8b,16384,ig_6,0.941,0.9417,1152,12
q3_8b,16384,ig_7,0.9479,0.9463,1152,12
q3_8b,16384,ig_8,0.9462,0.9431,1152,12
q3_8b,16384,ig_9,0.9497,0.9427,1152,12
q3_8b,16384,ig_10,0.947,0.9396,1152,12
q3_8b,16384,ig_11,0.9497,0.9424,1152,12
q3_8b,16384,ig_12,0.9288,0.9357,1152,12
q3_8b,16384,ig_13,0.9358,0.9373,1152,12
q3_8b,16384,ig_14,0.9358,0.9374,1152,12
q3_8b,16384,ig_15,0.9401,0.9408,1152,12
q3_8b,16384,ig_16,0.9436,0.9397,1152,12
q3_8b,16384,ig_17,0.9375,0.9361,1152,12
q3_8b,16384,ig_18,0.9375,0.9373,1152,12
q3_8b,16384,ig_19,0.934,0.9319,1152,12
q3_8b,16384,ig_20,0.9392,0.934,1152,12
q3_8b,16384,ig_21,0.9245,0.9265,1152,12
q3_8b,16384,ig_22,0.9115,0.9135,1152,12
q3_8b,16384,ig_23,0.8984,0.9037,1152,12
q3_8b,16384,ig_24,0.9062,0.9094,1152,12
q3_8b,16384,ig_25,0.9167,0.9079,1152,12
q3_8b,16384,ig_26,0.9123,0.9109,1152,12
q3_8b,16384,ig_27,0.901,0.906,1152,12
q3_8b,16384,ig_28,0.9019,0.901,1152,12
q3_8b,16384,ig_29,0.8802,0.8876,1152,12
q3_8b,16384,ig_30,0.9106,0.9046,1152,12
q3_8b,16384,ig_31,0.9054,0.9003,1152,12
q3_8b,16384,ig_32,0.9019,0.9068,1152,12
q3_8b,16384,ig_33,0.901,0.9007,1152,12
